Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,12/29/2022,604,N898UA,DEN,14:58,16:14,193,197,76,72,0,4,0,0
UA,12/29/2022,1998,N894UA,ORD,21:07,21:28,113,117,21,17,0,4,0,0
UA,12/29/2022,2488,N415UA,EWR,23:14,22:51,75,55,-23,0,0,0,0,0
UA,12/30/2021,2416,N848UA,IAD,23:10,23:19,70,62,9,0,0,0,0,0
UA,12/30/2022,604,N854UA,DEN,14:58,15:15,193,201,17,9,0,8,0,0
UA,12/30/2022,1998,N872UA,ORD,21:07,20:56,113,105,-11,0,0,0,0,0
UA,12/30/2022,2488,N27251,EWR,23:14,23:07,75,50,-7,0,0,0,0,0
UA,12/31/2019,1460,N838UA,EWR,18:15,18:14,75,60,-1,0,0,0,0,0
UA,12/31/2021,467,N872UA,IAD,18:38,18:32,78,68,-6,0,0,0,0,0
UA,12/31/2022,604,N801UA,DEN,14:58,14:46,193,178,-12,0,0,0,0,0
UA,12/31/2022,1998,N23707,ORD,21:08,20:44,113,98,-24,0,0,0,0,0
UA,12/31/2022,2488,N37427,EWR,23:14,00:46,75,73,92,92,0,0,0,0
,,,,,,,,,,,,,,
 SOURCE: Bureau of Transportation Statistics,,,,,,,,,,,,,,
